Artist,Title,Year,Parent Genre,Tags,Notes,Art URL,Barcode
MxPx,,,Rock,"pop punk, punk rock, christian",,,
The Bouncing Souls,,,Rock,"punk rock, pop punk",,,
Ramones,Ramones,1976,Rock,"punk rock, proto-punk",,,
Marcy Playground,,,Rock,"alternative, indie rock",,,
Eve 6,,,Rock,"pop punk, alternative, pop rock",,,
NOFX,,,Rock,"punk rock, melodic hardcore",,,
Raised Fist,,,Rock,"hardcore, metalcore",,,
Jimmy Eat World,Clarity,1999,Rock,"emo, alternative",,,
The Clash,London Calling,1979,Rock,"punk rock, post-punk, reggae",,,
The Stooges,Fun House,1970,Rock,"proto-punk, garage rock, hard rock",,,
My Bloody Valentine,,,Rock,"shoegaze, noise rock",,,
OutKast,Stankonia,2000,Hip Hop,"southern hip hop, funk, pop rap",,,
Slim Whitman,,,Country,"classic country, western",,,
Queen,A Night at the Opera,1975,Rock,"prog rock, hard rock, classic rock",,,
The Strokes,Is This It,2001,Rock,"indie rock, garage rock, post-punk",,,
Flea,Honora,2026,Rock,,"Written down as ""honoria"" — the album is Honora, March 2026",,
Third Eye Blind,Third Eye Blind,1997,Rock,"alternative, pop rock",,,
Sigur Rós,,,Rock,"post-rock, ambient, ethereal",,,
John Denver,,,Folk,"folk, soft rock, classic country",,,
Harvey Danger,Where Have All the Merrymakers Gone?,1997,Rock,"alternative, power pop, indie rock",,,
Sloppy Seconds,,,Rock,"punk rock, pop punk",,,
Richard Marx,Repeat Offender,1989,Rock,"soft rock, pop rock",,,
Lit,,,Rock,"alternative, pop punk",,,
Tiger Army,,,Rock,"psychobilly, punk rock",,,
90 Lb. Wuss,,,Rock,"post-hardcore, hardcore",,,
Social Distortion,,,Rock,"punk rock, cowpunk",,,
Dashboard Confessional,,,Rock,"emo, acoustic",,,
